# Stream A2 IC results — 2026-05-28
# Source: atlas.weinstein_a2_ic_results (Supabase, project nanvgbhootvvthjujkvs)
# Universe: nifty 500 stocks tagged Large/Mid/Small in atlas_universe_stocks (STATIC_2026, post-2026-05 snapshot)
# Window: 2018-01-01 to 2026-05-28 (8 yrs); excludes Micro per Q5 lock
# cap_tier source: STATIC (atlas_universe_stocks.tier) — PIT history insufficient (3 days); see weinstein-a2-cap-tier-decision.md
# Base rule: Stage 1 -> Stage 2 (UP) or Stage 3 -> Stage 4 (DOWN) crossover with persist_4w >= 0.6 (relaxed from 0.8)
# Confluences (each event flagged pass/fail):
#   L1: 5d avg vol >= 1.5x 60d avg vol      (pass rate 7-12%)
#   L2: clears prior 13W close-high/low      (pass rate 7-11%)
#   L3: RS_3m trend (improving for UP)       (pass rate 40-49%)
#   L4: stage1/3 persist 12W >= 0.5          (pass rate 33-47%; relaxed from 0.7 in plan)
#   L6: liquidity floor (5cr/2cr/50L)        (pass rate 94-99% — too loose)
#   L5 sector confluence: deferred (no sector RS data wired)
# Subsets: S01..S12 (12 combinations per cell)
# Forward return: excess vs NIFTY 500 over 130 calendar days
# IC: Spearman (CORR between indicator and percent_rank(forward_excess_6m) within partition)
# Signed useful IC: ic_spearman for UP, -ic_spearman for DOWN (higher = better)
# Hit rate: fraction of pass events with forward_excess_6m in expected direction (only among passers)
cap_tier,ma_lookback_weeks,event_type,subset_id,n_all,n_pass,events_per_year,hit_rate,mean_excess_pass,ic_spearman
Large,30,UP,S03_+L2,145,10,1.3,0.5000,0.027065,-0.027310
Large,30,UP,S04_+L3,145,67,8.4,0.5821,0.073468,0.030735
Large,30,UP,S05_+L4,145,66,8.3,0.5303,0.048593,-0.085032
Large,30,UP,S06_+L6,145,143,17.9,0.5524,0.067853,-0.108778
Large,30,UP,S07_+L1+L2,145,2,0.3,0.5000,0.069256,0.029667
Large,30,UP,S08_+L1+L3,145,9,1.1,0.6667,0.096235,0.096968
Large,30,UP,S09_+L2+L3,145,6,0.8,0.5000,-0.014920,-0.069491
Large,30,UP,S10_+L1+L2+L3,145,1,0.1,1.0000,0.143625,0.061718
Large,30,UP,S11_+L1+L2+L3+L4,145,0,0.0,,,
Large,30,UP,S12_+L1+L2+L3+L4+L6,145,0,0.0,,,
Mid,5,DOWN,S01_base,544,544,68.0,0.5919,-0.027387,
Mid,5,DOWN,S02_+L1,544,57,7.1,0.5614,-0.016811,0.011562
Mid,5,DOWN,S03_+L2,544,47,5.9,0.6596,-0.078804,-0.049476
Mid,5,DOWN,S04_+L3,544,270,33.8,0.5481,-0.012938,0.077751
Mid,5,DOWN,S05_+L4,544,181,22.6,0.5249,0.004967,0.111855
Mid,5,DOWN,S06_+L6,544,519,64.9,0.5915,-0.027159,0.013892
Mid,5,DOWN,S07_+L1+L2,544,4,0.5,0.7500,-0.148238,-0.048914
Mid,5,DOWN,S08_+L1+L3,544,27,3.4,0.4815,-0.004441,0.044815
Mid,5,DOWN,S09_+L2+L3,544,24,3.0,0.5833,-0.069191,-0.024283
Mid,5,DOWN,S10_+L1+L2+L3,544,2,0.3,0.5000,-0.182671,-0.033266
Mid,5,DOWN,S11_+L1+L2+L3+L4,544,1,0.1,1.0000,-0.391097,-0.070640
Mid,5,DOWN,S12_+L1+L2+L3+L4+L6,544,1,0.1,1.0000,-0.391097,-0.070640
Mid,5,UP,S01_base,528,528,66.0,0.5511,0.056369,
Mid,5,UP,S02_+L1,528,41,5.1,0.5366,0.050741,-0.005827
Mid,5,UP,S03_+L2,528,69,8.6,0.5652,0.075973,0.042672
Mid,5,UP,S04_+L3,528,232,29.0,0.5216,0.047950,-0.041184
Mid,5,UP,S05_+L4,528,127,15.9,0.5669,0.058460,0.013301
Mid,5,UP,S06_+L6,528,498,62.3,0.5482,0.056061,-0.007085
Mid,5,UP,S07_+L1+L2,528,4,0.5,0.7500,0.099438,0.028948
Mid,5,UP,S08_+L1+L3,528,15,1.9,0.6000,0.134582,0.045586
Mid,5,UP,S09_+L2+L3,528,32,4.0,0.5625,0.067176,0.028850
Mid,5,UP,S10_+L1+L2+L3,528,2,0.3,0.5000,0.048509,0.003034
Mid,5,UP,S11_+L1+L2+L3+L4,528,1,0.1,0.0000,-0.069522,-0.031866
Mid,5,UP,S12_+L1+L2+L3+L4+L6,528,1,0.1,0.0000,-0.069522,-0.031866
Mid,10,DOWN,S01_base,338,338,42.3,0.6095,-0.039393,
Mid,10,DOWN,S02_+L1,338,41,5.1,0.6585,-0.096194,-0.080013
Mid,10,DOWN,S03_+L2,338,28,3.5,0.6786,-0.086738,-0.044002
Mid,10,DOWN,S04_+L3,338,164,20.5,0.6098,-0.042546,-0.037980
Mid,10,DOWN,S05_+L4,338,117,14.6,0.5641,-0.016068,0.070779
Mid,10,DOWN,S06_+L6,338,314,39.3,0.6210,-0.046009,-0.062690
Mid,10,DOWN,S07_+L1+L2,338,6,0.8,0.6667,-0.190612,-0.063378
Mid,10,DOWN,S08_+L1+L3,338,21,2.6,0.7143,-0.132395,-0.090128
Mid,10,DOWN,S09_+L2+L3,338,17,2.1,0.7647,-0.089691,-0.037390
Mid,10,DOWN,S10_+L1+L2+L3,338,4,0.5,0.7500,-0.255760,-0.072903
Mid,10,DOWN,S11_+L1+L2+L3+L4,338,1,0.1,1.0000,-0.213534,-0.066158
Mid,10,DOWN,S12_+L1+L2+L3+L4+L6,338,1,0.1,1.0000,-0.213534,-0.066158
Mid,10,UP,S01_base,335,335,41.9,0.5552,0.069754,
Mid,10,UP,S02_+L1,335,36,4.5,0.6944,0.094746,0.077842
Mid,10,UP,S03_+L2,335,43,5.4,0.6977,0.216283,0.171831
Mid,10,UP,S04_+L3,335,147,18.4,0.5510,0.055343,-0.063696
Mid,10,UP,S05_+L4,335,121,15.1,0.5702,0.061149,0.002313
Mid,10,UP,S06_+L6,335,318,39.8,0.5535,0.066791,-0.022081
Mid,10,UP,S07_+L1+L2,335,6,0.8,0.8333,0.298779,0.107061
Mid,10,UP,S08_+L1+L3,335,16,2.0,0.5625,0.001563,-0.037777
Mid,10,UP,S09_+L2+L3,335,15,1.9,0.8667,0.332527,0.182687
Mid,10,UP,S10_+L1+L2+L3,335,2,0.3,0.5000,-0.013272,-0.022038
Mid,10,UP,S11_+L1+L2+L3+L4,335,0,0.0,,,
Mid,10,UP,S12_+L1+L2+L3+L4+L6,335,0,0.0,,,
Mid,20,DOWN,S01_base,211,211,26.4,0.6161,-0.027334,
Mid,20,DOWN,S02_+L1,211,22,2.8,0.5909,0.008403,0.044556
Mid,20,DOWN,S03_+L2,211,5,0.6,0.6000,0.033484,0.056783
Mid,20,DOWN,S04_+L3,211,88,11.0,0.6591,-0.028416,-0.036295
Mid,20,DOWN,S05_+L4,211,78,9.8,0.6410,-0.014688,-0.024179
